repeat_id,index_type,N,d,metric,topk,nq,threads,hnsw_M,hnsw_efC,hnsw_efS,build_s,search_s,qps,avg_ms_per_q,p50_ms,p95_ms,p99_ms,recall_at_k,index_bytes
0,hnsw,10000,128,l2,10,1000,16,16,200,256,1.812232,0.102492,9756.846,0.102,0.713,5.855,9.698,0.981600,6560442
0,hnsw,10000,128,l2,10,1000,16,32,100,64,1.581110,0.041995,23812.530,0.042,0.269,0.288,0.337,0.912400,7837858
0,hnsw,10000,128,l2,10,1000,16,32,100,128,1.152268,0.073729,13563.143,0.074,0.491,0.657,8.944,0.977400,7837858
0,hnsw,10000,128,l2,10,1000,16,32,100,256,1.117730,0.117110,8539.012,0.117,0.847,8.326,9.683,0.995900,7837858
0,hnsw,10000,128,l2,10,1000,16,32,200,64,2.104426,0.046332,21583.399,0.046,0.294,0.369,9.061,0.922900,7837858
0,flat,2500,96,l2,10,1000,32,,,,0.000979,0.066212,15102.889,0.066,0.113,0.120,0.133,1.000000,960045
0,hnsw,2500,96,l2,10,1000,32,16,100,64,0.401017,0.063104,15846.980,0.063,0.123,0.132,0.158,0.965500,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,128,0.372116,0.060713,16471.028,0.061,0.224,0.265,8.001,0.992800,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,256,0.235234,0.086643,11541.612,0.087,0.439,5.213,6.526,0.998800,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,384,0.181738,0.148747,6722.819,0.149,0.708,8.182,9.527,0.999800,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,512,0.171995,0.188380,5308.416,0.188,0.745,1.184,20.754,0.999700,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,640,0.218450,0.238073,4200.393,0.238,1.034,1.535,17.466,0.999500,1319402
0,hnsw,2500,96,l2,10,1000,32,16,100,768,0.188966,0.311817,3207.010,0.312,1.370,6.758,10.494,1.000000,1319402
0,hnsw,2500,96,l2,10,1000,32,32,100,64,0.210993,0.038728,25821.008,0.039,0.147,0.160,8.488,0.986700,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,128,0.160914,0.061298,16313.677,0.061,0.250,0.262,8.725,0.998100,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,256,0.254718,0.081207,12314.209,0.081,0.467,0.989,9.370,1.000000,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,384,0.174305,0.107710,9284.178,0.108,0.740,6.929,9.695,1.000000,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,512,0.147016,0.159898,6253.981,0.160,1.067,1.089,1.094,1.000000,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,640,0.155381,0.235458,4247.035,0.235,1.062,1.581,21.404,1.000000,1638546
0,hnsw,2500,96,l2,10,1000,32,32,100,768,0.276579,0.355810,2810.493,0.356,1.975,2.164,2.209,1.000000,1638546
1,flat,2500,96,l2,10,1000,32,,,,0.000322,0.071493,13987.357,0.071,0.114,0.124,0.157,1.000000,960045
1,hnsw,2500,96,l2,10,1000,32,16,100,64,0.251376,0.041000,24390.190,0.041,0.117,0.165,0.351,0.962900,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,128,0.233583,0.046302,21597.125,0.046,0.226,0.564,11.037,0.993700,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,256,0.237459,0.080252,12460.727,0.080,0.426,0.605,22.407,0.999100,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,384,0.214101,0.130567,7658.927,0.131,0.511,0.832,18.866,0.999500,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,512,0.289172,0.246037,4064.430,0.246,0.750,1.757,9.782,0.999800,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,640,0.305959,0.258090,3874.612,0.258,1.035,8.564,11.741,0.999900,1319402
1,hnsw,2500,96,l2,10,1000,32,16,100,768,0.230466,0.361090,2769.389,0.361,1.367,2.099,23.609,0.999800,1319402
1,hnsw,2500,96,l2,10,1000,32,32,100,64,0.231962,0.039351,25412.237,0.039,0.143,0.155,0.251,0.988200,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,128,0.313892,0.060996,16394.581,0.061,0.247,0.258,0.273,0.997900,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,256,0.309203,0.076781,13024.077,0.077,0.462,0.496,7.000,0.999900,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,384,0.277030,0.142836,7001.031,0.143,0.734,0.794,9.404,0.999900,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,512,0.205335,0.178061,5616.064,0.178,1.071,1.115,9.290,1.000000,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,640,0.224751,0.287629,3476.695,0.288,1.061,4.024,10.215,1.000000,1638546
1,hnsw,2500,96,l2,10,1000,32,32,100,768,0.249068,0.321961,3105.962,0.322,1.403,2.498,11.052,1.000000,1638546
0,flat,5000,96,l2,10,1000,32,,,,0.000694,0.152631,6551.767,0.153,0.217,0.261,22.335,1.000000,1920045
0,hnsw,5000,96,l2,10,1000,32,16,100,64,0.606142,0.038054,26278.305,0.038,0.152,0.238,23.129,0.916100,2639578
0,hnsw,5000,96,l2,10,1000,32,16,100,128,0.571014,0.050955,19625.192,0.051,0.277,0.373,20.541,0.975200,2639578
0,hnsw,5000,96,l2,10,1000,32,16,100,256,0.489962,0.087221,11465.082,0.087,0.528,0.653,17.623,0.993900,2639578
0,hnsw,5000,96,l2,10,1000,32,16,100,384,0.495698,0.165698,6035.059,0.166,0.602,6.047,18.880,0.997700,2639578
0,hnsw,5000,96,l2,10,1000,32,16,100,512,0.477363,0.214763,4656.293,0.215,0.866,1.420,16.996,0.998700,2639578
