time,rss_mb,cpu_percent,read_kbs,write_kbs,read_chars_kbs,write_chars_kbs,minor_faults_s,major_faults_s
2025-08-18 14:49:07.856601,758.5,778.9,548840.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:07.957198,758.5,769.0,527000.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:08.057818,758.5,788.9,576040.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:08.162280,758.5,768.4,505400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:08.262858,758.5,769.0,586000.0,0.0,0.0,0.0,10.0,0.0
2025-08-18 14:49:08.363435,758.5,739.1,291640.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:08.463888,758.5,809.4,71600.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:08.564455,758.5,789.0,65680.0,0.0,0.0,1.28,280.0,0.0
2025-08-18 14:49:08.665109,758.5,798.7,613000.0,0.0,0.0,0.0,12930.0,0.0
2025-08-18 14:49:08.765714,761.09,799.0,563280.0,0.0,0.0,0.0,10400.0,0.0
2025-08-18 14:49:08.866366,763.2,789.0,582280.0,0.0,0.0,0.0,12800.0,0.0
2025-08-18 14:49:08.967099,765.8,789.1,579120.0,0.0,0.0,0.0,5120.0,0.0
2025-08-18 14:49:09.067907,766.82,808.7,555560.0,0.0,0.0,0.0,10290.0,0.0
2025-08-18 14:49:09.174597,768.92,757.7,565320.0,0.0,0.0,0.0,7680.0,0.0
2025-08-18 14:49:09.275263,770.47,759.0,581520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:09.376005,770.47,779.0,549200.0,0.0,0.0,0.0,5120.0,0.0
2025-08-18 14:49:09.476665,771.53,769.0,561720.0,0.0,0.0,0.0,10240.0,0.0
2025-08-18 14:49:09.577319,773.84,799.0,536760.0,0.0,0.0,0.0,5120.0,0.0
2025-08-18 14:49:09.678255,774.88,798.8,541200.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:09.778992,774.88,798.5,543800.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:09.879559,774.88,779.1,598520.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:09.980292,774.88,788.9,655560.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.081056,774.88,798.3,635720.0,0.0,0.0,0.0,2560.0,0.0
2025-08-18 14:49:10.188545,775.4,777.4,653560.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.289225,775.4,778.9,560400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.389978,775.4,758.8,527000.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.490878,775.4,679.1,497400.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.591566,775.4,788.8,598680.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.692482,775.4,788.5,636360.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.793121,775.4,788.9,619440.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.893900,775.4,778.7,521880.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:10.994442,775.4,769.1,570760.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:11.094980,775.4,789.4,599880.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:11.199513,775.4,788.4,593480.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:11.300146,775.4,749.0,618080.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:11.400750,775.4,789.0,573560.0,0.0,0.0,0.0,0.0,0.0
2025-08-18 14:49:11.501390,775.4,799.0,560320.0,0.0,0.0,0.0,0.0,0.0
